time,seconds_elapsed,z,y,x
1697907772923994400,0.096994384765625,0,0,0
1697907772942964700,0.11596484375,-0.26471900939941406,-0.08052074909210205,0.5091498494148254
1697907772961935000,0.13493505859375,-0.6442832946777344,-0.2679024934768677,-0.39604148268699646
1697907772980905500,0.153905517578125,-1.5936384201049805,0.12688183784484863,-0.05331575870513916
1697907772999875800,0.172875732421875,-1.6197776794433594,0.3462047576904297,-0.09049409627914429
1697907773018846200,0.19184619140625,-1.4699668884277344,0.004526376724243164,0.36029747128486633
1697907773037816600,0.210816650390625,-0.8168172836303711,-0.6813225746154785,0.1784561276435852
1697907773056787000,0.229786865234375,-0.8332653045654297,-1.0717705488204956,-0.1744394600391388
1697907773075757300,0.24875732421875,-1.1361713409423828,-0.6846665143966675,-0.465889036655426
1697907773094727400,0.2677275390625,-0.31718921661376953,-0.10940015316009521,-1.4926090240478516
1697907773113697800,0.28669775390625,0.8595104217529297,-0.6194415092468262,-1.3445050716400146
1697907773132668400,0.30566845703125,1.0047121047973633,-0.5194331407546997,-0.6751638650894165
1697907773151638800,0.324638671875,1.1981391906738281,0.3628075122833252,-0.9808549880981445
1697907773170609200,0.343609130859375,1.821995735168457,0.8361163139343262,-1.9102654457092285
1697907773189579500,0.36257958984375,1.774728775024414,-0.37407803535461426,-2.601682424545288
1697907773208550000,0.3815498046875,1.1703157424926758,-2.640698194503784,-4.520509243011475
1697907773227520300,0.400520263671875,-0.5525045394897461,-1.8556169271469116,-2.5378966331481934
1697907773246490600,0.41949072265625,-1.1306953430175781,-0.8473494052886963,-0.820936918258667
1697907773265461000,0.4384609375,-0.7436342239379883,0.8682210445404053,0.9989395141601562
1697907773284431400,0.457431396484375,3.321455955505371,-0.8398804664611816,-0.9141220450401306
1697907773303401700,0.476401611328125,2.563608169555664,-3.2743802070617676,-0.6923356056213379
1697907773322372000,0.4953720703125,0.061707496643066406,-4.337405681610107,-3.2301864624023438
1697907773341342500,0.514342529296875,-2.7998995780944824,-5.098359107971191,-2.262138605117798
1697907773360312800,0.533312744140625,-3.609508991241455,-4.250425815582275,-1.263302206993103
1697907773379283000,0.552282958984375,-3.0971150398254395,-3.8168678283691406,-0.37374401092529297
1697907773398253600,0.571253662109375,-3.596622943878174,-4.2794189453125,-0.5640206336975098
1697907773417224000,0.590223876953125,-3.2128243446350098,-4.511412620544434,-0.29026341438293457
1697907773436194300,0.6091943359375,-3.1713366508483887,-5.592637062072754,-0.7820205688476562
1697907773455164700,0.62816455078125,-4.653375148773193,-5.602475166320801,-0.08074569702148438
1697907773474135000,0.647135009765625,-3.6210668087005615,-4.519122123718262,1.8504514694213867
1697907773493105400,0.66610546875,-3.6116981506347656,-5.880576133728027,1.2187614440917969
1697907773512075800,0.68507568359375,-5.2319841384887695,-4.157404899597168,2.0392394065856934
1697907773531046100,0.704046142578125,-4.676356792449951,0.5531644821166992,8.72257137298584
1697907773550016500,0.7230166015625,-2.1721980571746826,3.7840423583984375,2.900054454803467
1697907773568987000,0.74198681640625,-14.643691062927246,-11.42270565032959,-1.9081306457519531
1697907773587957200,0.760957275390625,-8.223557472229004,-1.823798418045044,3.0044946670532227
1697907773606927600,0.779927734375,4.924216270446777,3.8118529319763184,8.843189239501953
1697907773625898000,0.79889794921875,2.860246181488037,10.93977165222168,13.01076602935791
1697907773644868400,0.817868408203125,-1.5482516288757324,8.257046699523926,7.999725341796875
1697907773663838500,0.83683837890625,-0.6757341623306274,2.4696507453918457,1.5828771591186523
1697907773682808800,0.855808837890625,0.7174839973449707,4.0380401611328125,0.9794816970825195
1697907773701779200,0.874779296875,-2.8873698711395264,3.853030204772949,0.043053627014160156
1697907773720749600,0.89374951171875,-0.9005923271179199,-0.6733952760696411,-1.8449888229370117
1697907773739720000,0.912719970703125,0.08659934997558594,-0.9813926815986633,-3.744025230407715
1697907773758690300,0.931690185546875,-1.8879120349884033,1.0029785633087158,-1.5692977905273438
1697907773777660700,0.95066064453125,1.7920194864273071,2.6658594608306885,3.489910125732422
1697907773796631000,0.969631103515625,1.774301528930664,1.05971360206604,2.724771499633789
1697907773815601400,0.988601318359375,-0.24233388900756836,-1.253768801689148,-1.5854697227478027
1697907773834571800,1.00757177734375,1.2656149864196777,-0.3004743456840515,0.8877143859863281
1697907773853542100,1.026542236328125,1.0574491024017334,-1.933044672012329,0.15610027313232422
1697907773872512500,1.045512451171875,-1.4920356273651123,-0.9348733425140381,4.163288116455078
1697907773891483000,1.06448291015625,-1.8033431768417358,-3.404035806655884,-0.10097885131835938
1697907773910453200,1.083453369140625,0.47405219078063965,-0.49576234817504883,3.162714958190918
1697907773929423600,1.102423583984375,-0.13503050804138184,-1.0176159143447876,-0.39469051361083984
1697907773948394000,1.12139404296875,1.7009673118591309,-2.9668900966644287,3.670046806335449
1697907773967364400,1.1403642578125,-0.18910670280456543,-1.2027965784072876,1.6742181777954102
1697907773986334700,1.159334716796875,-1.708993673324585,0.09284833073616028,1.714655876159668
1697907774005305000,1.17830517578125,-1.0162607431411743,1.3511995077133179,0.6273031234741211
1697907774024275500,1.197275390625,-1.1321730613708496,1.3772916793823242,-0.5116586685180664
1697907774043245800,1.216245849609375,-0.8186461925506592,1.1072049140930176,-1.2122392654418945
1697907774062216200,1.23521630859375,0.48180055618286133,1.8988206386566162,-1.4172782897949219
1697907774081186600,1.2541865234375,0.6417570114135742,2.6815218925476074,-1.399662971496582
1697907774100157000,1.273156982421875,0.02945077419281006,1.8112280368804932,-0.12872695922851562
